GeneID,Gene,Annotation_New,KEGG_Pathway,KEGG2,KEGG1,D11,L1,L6,L11,D1,D6,2D11,2L1
CwatDRAFT_2172,aspK,"Aspartate kinase:Aspartate kinase, monofunctional class","Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,12.52,12.06,12.6,13.17,13.39,11.81,11.54,11.02
CwatDRAFT_4128,cysE,Serine O-acetyltransferase,Cysteine metabolism,Amino acid metabolism,Metabolism,13.03,12.63,12.19,11.32,12.56,12.31,12.34,12.6
CwatDRAFT_0796,cysK,Cysteine synthase K/M:Cysteine synthase A,Cysteine metabolism,Amino acid metabolism,Metabolism,9.82,9.9,11.3,14.85,15.02,13.63,9.26,9.01
CwatDRAFT_1623,cysM,"Pyridoxal-5'-phosphate-dependent enzyme, beta subunit",Cysteine metabolism,Amino acid metabolism,Metabolism,12.06,11.57,11.42,10.89,10.55,10.04,11.3,11
CwatDRAFT_3451,dapA,Dihydrodipicolinate synthase subfamily,Lysine biosynthesis,Amino acid metabolism,Metabolism,12.2,12.25,11.74,12.06,12.27,12.97,13.07,12.44
CwatDRAFT_4914,dapB,Dihydrodipicolinate reductase,Lysine biosynthesis,Amino acid metabolism,Metabolism,9.29,8.99,8.76,10.68,10.36,9.21,8.69,8.3
CwatDRAFT_6328,dapF,Diaminopimelate epimerase,Lysine biosynthesis,Amino acid metabolism,Metabolism,12.35,10.91,11.43,10.07,10.06,11.71,12.95,11.03
CwatDRAFT_6504,dgkA,Prokaryotic diacylglycerol kinase,Glycerolipid metabolism,Amino acid metabolism,Metabolism,10.24,12.02,11.97,12.67,12.34,10.29,9.33,11.42
CwatDRAFT_1044,fmt,Methionyl-tRNA formyltransferase,Methionine metabolism,Amino acid metabolism,Metabolism,5.14,6.53,6.57,6.21,6.03,6.53,5.95,7.01
CwatDRAFT_2812,gcvP,Glycine cleavage system P-protein,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,12.31,13.37,13.08,12.61,10.47,10.59,11.47,12.27
CwatDRAFT_1664,gcvT,Glycine cleavage system T protein,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,11.04,11.03,11.13,10.24,10,9.09,10.24,10.4
CwatDRAFT_4713,gdhA,"Glu/Leu/Phe/Val dehydrogenase, C terminal:Glu/Leu/Phe/Val dehydrogenase, dimerisation region",Glutamate metabolism,Amino acid metabolism,Metabolism,10.45,8.91,8.83,7.55,9.1,7.67,10.46,8.7
CwatDRAFT_4294,gldA,Iron-containing alcohol dehydrogenase,Glycerolipid metabolism,Amino acid metabolism,Metabolism,12.54,12.96,13.66,14.38,14.06,13.49,12.49,12.61
CwatDRAFT_6625,glmS,"Glucosamine-fructose-6-phosphate aminotransferase, isomerising",Glutamate metabolism,Amino acid metabolism,Metabolism,10.94,11.93,12.01,9.3,7.29,7.58,10.04,11.47
CwatDRAFT_1165,gst1,"Glutathione S-transferase, N-terminal",Glutathione metabolism,Amino acid metabolism,Metabolism,8.89,10.69,12.19,11.39,10.4,9.8,9.12,10.66
CwatDRAFT_3613,gstA,"Glutathione S-transferase, N-terminal:Glutathione S-transferase, C-terminal",Glutathione metabolism,Amino acid metabolism,Metabolism,6.26,8.07,7.56,6.76,6.23,6.18,6.39,8.05
CwatDRAFT_6327,hisA,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase,Histidine metabolism,Amino acid metabolism,Metabolism,12.92,11.96,11.33,11.32,10.71,11.32,12.01,11.48
CwatDRAFT_2133,hisB,Imidazoleglycerol-phosphate dehydratase,Histidine metabolism,Amino acid metabolism,Metabolism,7.49,7.32,7.16,8.47,9.08,8.02,7.01,7.23
CwatDRAFT_2134,hisC,Histidinol-phosphate aminotransferase,Histidine metabolism,Amino acid metabolism,Metabolism,6.64,6.63,6.96,10.16,10.22,9.06,7.13,6.72
CwatDRAFT_0469,hisD,Histidinol dehydrogenase,Histidine metabolism,Amino acid metabolism,Metabolism,13.29,12.54,12.96,12.78,13.37,12.6,12.85,12.37
CwatDRAFT_5326,hisD,Histidinol dehydrogenase,Histidine metabolism,Amino acid metabolism,Metabolism,10.63,10.03,11.42,10.84,10.98,10.35,10.25,9.54
CwatDRAFT_1658,hisF,Histidine biosynthesis protein HisF,Histidine metabolism,Amino acid metabolism,Metabolism,9.24,8.21,7.94,10.13,11.05,9.84,8.58,8.11
CwatDRAFT_5365,hisG,ATP phosphoribosyltransferase,Histidine metabolism,Amino acid metabolism,Metabolism,10.79,10.92,11.25,10.98,11.6,10.01,11.01,10.8
CwatDRAFT_6518,hisH,"Imidazole glycerol phosphate synthase, glutamine amidotransferase subunit",Histidine metabolism,Amino acid metabolism,Metabolism,12.1,10.03,10.07,9.73,10.81,11.63,11.76,10.26
CwatDRAFT_1852,hisI,Phosphoribosyl-AMP cyclohydrolase:Phosphoribosyl-ATP pyrophosphohydrolase,Histidine metabolism,Amino acid metabolism,Metabolism,7.78,6.51,6.91,10.04,11.85,9.68,7.3,6.11
CwatDRAFT_0970,ilvB,Pyruvate decarboxylase:Pyruvate decarboxylase,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,13.24,12.27,11.98,13.04,13.57,12.47,12.58,11.48
CwatDRAFT_4730,ilvC,Acetohydroxy acid isomeroreductase,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,11.29,10.22,9.39,11.65,12.14,12.32,9.96,9.49
CwatDRAFT_4460,ilvD,Dihydroxy-acid dehydratase,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,12.68,11.83,11.79,13.46,13.8,12.74,11.58,11.13
CwatDRAFT_5270,ilvE,Branched-chain amino acid aminotransferase I,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,9.93,8.42,8.3,8.42,9.18,10.5,10.4,8.88
CwatDRAFT_5428,ilvG,"Acetolactate synthase, large subunit, biosynthetic type","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,14.17,13.35,13.51,14.81,15.48,14.18,13.06,12.52
CwatDRAFT_4703,ilvN,"Acetolactate synthase, small subunit","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,11.1,10.8,11.16,13.06,13.69,12.58,10.42,10.16
CwatDRAFT_2012,leuA,2-isopropylmalate synthase,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,12.32,11.19,11.67,11.62,12.07,12.06,11.65,10.45
CwatDRAFT_5617,leuA,2-isopropylmalate synthase/homocitrate synthase,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,12.44,12.05,11.65,12.59,13.6,12.88,12.48,11.7
CwatDRAFT_5260,leuB,3-isopropylmalate dehydrogenase,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,12.83,11.82,10.07,9.54,9.77,11.37,11.72,10.93
CwatDRAFT_1322,leuC,3-isopropylmalate dehydratase large subunit,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,12.21,11.51,11.46,11.32,12.33,11.14,11.25,10.77
CwatDRAFT_1169,leuD,3-isopropylmalate dehydratase small subunit,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,11.65,11.25,11.27,11.68,12.91,11.57,11.35,10.86
CwatDRAFT_4267,lysA,Diaminopimelate decarboxylase,Lysine biosynthesis,Amino acid metabolism,Metabolism,12.12,11.22,10.99,12.16,12.87,12.26,10.72,10.09
CwatDRAFT_0550,metE,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,Methionine metabolism,Amino acid metabolism,Metabolism,13.71,15.12,13.24,11.3,8.75,9.68,11.96,14.57
CwatDRAFT_4245,metH,"Dihydropteroate synthase, DHPS:Homocysteine S-methyltransferase:Cobalamin-dependent methionine synthase, B12-binding:Vitamin B12 dependent methionine synthase, activation region:Coenzyme B12-binding",Methionine metabolism,Amino acid metabolism,Metabolism,10.05,11.07,11.74,10.89,8.67,7.28,8.03,9.41
CwatDRAFT_5852,metK,S-adenosylmethionine synthetase,Methionine metabolism,Amino acid metabolism,Metabolism,11.84,12.3,11.74,10.94,9.52,11.31,11.52,12.09
CwatDRAFT_3769,murE,UDP-N-acetylmuramyl-tripeptide synthetase,Lysine biosynthesis,Amino acid metabolism,Metabolism,11.35,12.22,12.34,11.45,9.91,9.59,10.9,11.85
CwatDRAFT_4119,murF,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanyl ligase",Lysine biosynthesis,Amino acid metabolism,Metabolism,12.46,12.41,11.61,11.25,11.14,10.76,12.12,12.19
CwatDRAFT_2580,nadB,L-aspartate oxidase,Alanine and aspartate metabolism,Amino acid metabolism,Metabolism,10.34,11.08,11.14,11.65,11.09,9.1,9.39,10.17
CwatDRAFT_6471,nadE,NAD+ synthase,Glutamate metabolism,Amino acid metabolism,Metabolism,7.66,7.55,7.22,7.84,8.18,7.45,7.49,7.28
CwatDRAFT_0475,pepE,"Peptidase S51, dipeptidase E",Lysine degradation,Amino acid metabolism,Metabolism,14.65,14.03,13.36,14.74,15.06,14.7,14.08,13.74
CwatDRAFT_1114,pgdA,Polysaccharide deacetylase,Arginine and proline metabolism,Amino acid metabolism,Metabolism,5.46,5,4.41,4.53,4.49,4.76,5.28,4.82
CwatDRAFT_6395,pgdh,D-3-phosphoglycerate dehydrogenase,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,11.65,10.66,11.48,14.73,15.55,14.75,11.12,9.88
CwatDRAFT_5093,proA,Gamma-glutamyl phosphate reductase GPR,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,4.86,4.55,4.57,4.91,5.18,5.31,4.58,4.39
CwatDRAFT_3087,proB,"Glutamate 5-kinase, ProB-related",Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,8.11,8.76,9.35,8.89,8.74,8.49,8.6,9.09
CwatDRAFT_4835,proC,Delta 1-pyrroline-5-carboxylate reductase,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,9.89,13.09,11.67,8.65,7.73,6.75,9,12.24
CwatDRAFT_0865,putA,delta-1-pyrroline-5-carboxylate dehydrogenase 2,Glutamate metabolism,Amino acid metabolism,Metabolism,13.91,13.53,12.91,11.2,11.51,9.78,13.33,13.1
CwatDRAFT_6617,thrA,Homoserine dehydrogenase,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,12.14,11.35,11.02,10.15,10.41,10.74,11.4,10.9
CwatDRAFT_4740,thrB,Homoserine kinase,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,11.07,10.66,10.3,10.12,10.1,10.16,10.43,10.22
CwatDRAFT_4050,thrC,Threonine synthase,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,13.88,13.37,12.57,12.66,11.73,14.19,13.5,13.09
CwatDRAFT_6189,thrC,Threonine synthase,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,15.63,15.12,15.12,14.92,15.26,14.56,14.68,14.22
CwatDRAFT_0507,trpA,"Tryptophan synthase, alpha chain","Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,8.55,7.99,7.46,7,7.61,7.39,7.42,7.61
CwatDRAFT_2817,trpB,"Tryptophan synthase, beta chain","Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,13.07,12.9,12.55,13.03,12.96,12.46,12.46,12.44
CwatDRAFT_6707,trpC,Indole-3-glycerol-phosphate synthase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,10.18,10,9.55,9.11,8.78,8.52,9.35,9.48
CwatDRAFT_4965,trpD,Anthranilate phosphoribosyl transferase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,10.97,10.08,8.99,9.04,8.26,9.07,10.12,9.5
CwatDRAFT_0487,trpE,Para-aminobenzoate synthase component I,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,6.46,5.38,5.48,5.86,6.55,6.93,6.54,5.41
CwatDRAFT_3694,trpE,Anthranilate synthase component I,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,14.33,13.09,13.23,12.98,13.63,13.76,14.2,13.12
CwatDRAFT_6505,trpG,Glutamine amidotransferase of anthranilate synthase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,11.17,12.78,12.48,13.1,12.55,10.63,10.33,12.04
CwatDRAFT_1619,,Asparagine synthase (glutamine-hydrolyzing),Alanine and aspartate metabolism,Amino acid metabolism,Metabolism,5.18,5.32,5.08,4.9,4.99,4.82,5.28,5.03
CwatDRAFT_1620,,hypothetical,Alanine and aspartate metabolism,Amino acid metabolism,Metabolism,4.14,4.3,4.3,4.22,4.01,4.16,4.64,4.23
CwatDRAFT_1920,,Asparaginase,Alanine and aspartate metabolism,Amino acid metabolism,Metabolism,11.18,10.7,11.1,10.83,11.18,10.71,10.42,10.22
CwatDRAFT_2751,,Asparagine synthase,Alanine and aspartate metabolism,Amino acid metabolism,Metabolism,4.9,4.92,4.49,4.45,4.53,4.4,5.07,4.5
CwatDRAFT_3142,,"Asparagine synthase, glutamine-hydrolyzing",Alanine and aspartate metabolism,Amino acid metabolism,Metabolism,10.11,9.78,10.05,13.71,13.67,12.7,10.44,9.67
CwatDRAFT_3767,,Alanine--tRNA ligase,Alanine and aspartate metabolism,Amino acid metabolism,Metabolism,11.3,11.77,11.14,10.54,9.76,10.72,11.59,11.49
CwatDRAFT_4984,,Alanine--glyoxylate transaminase,Alanine and aspartate metabolism,Amino acid metabolism,Metabolism,13.06,12.38,12.41,11.67,11.15,12.13,13.29,12.3
CwatDRAFT_1115,,hypothetical,Arginine and proline metabolism,Amino acid metabolism,Metabolism,4.65,4.3,4.27,4.18,4.17,4.19,4.82,4.15
CwatDRAFT_5696,,Amidase,Arginine and proline metabolism,Amino acid metabolism,Metabolism,4.53,4.46,4.45,4.29,4.16,4.24,4.82,4.27
CwatDRAFT_6564,,Amidase,Arginine and proline metabolism,Amino acid metabolism,Metabolism,11.6,11.61,11.32,9.76,9.01,8.82,10.93,11.06
CwatDRAFT_1083,,Sulfotransferase,Cysteine metabolism,Amino acid metabolism,Metabolism,9.24,10.33,10.87,10.3,10.04,10.32,9.78,10.58
CwatDRAFT_3965,,Sulfotransferase,Cysteine metabolism,Amino acid metabolism,Metabolism,4.93,5.94,5.43,5.57,5.1,4.9,5.13,6.49
CwatDRAFT_5907,,Sulfotransferase,Cysteine metabolism,Amino acid metabolism,Metabolism,5.56,5.26,5.02,5.67,5.5,5.43,5.35,5.07
CwatDRAFT_0649,,Pyridoxal-dependent decarboxylase,Glutamate metabolism,Amino acid metabolism,Metabolism,6.83,7.02,6.72,6.44,6.02,6.29,7.21,7.2
CwatDRAFT_1869,,"Aminotransferase, class I and II",Glutamate metabolism,Amino acid metabolism,Metabolism,12.4,12.16,10.99,11.25,11.29,11.28,11.65,11.54
CwatDRAFT_2196,,"Aminotransferase, class I and II",Glutamate metabolism,Amino acid metabolism,Metabolism,13.03,12.03,11.78,11.61,13.08,12.99,12.82,12.03
CwatDRAFT_2717,,Glutaminase,Glutamate metabolism,Amino acid metabolism,Metabolism,7,7.97,7.86,7.66,6.36,6.29,7.07,7.42
CwatDRAFT_5050,,Glutamate racemase,Glutamate metabolism,Amino acid metabolism,Metabolism,12.33,11.25,11.68,12.05,12.44,11.75,11.94,10.39
CwatDRAFT_5226,,"Glutathione synthetase, prokaryotic",Glutamate metabolism,Amino acid metabolism,Metabolism,10.08,9.58,9.25,8.3,7.52,9.09,9.81,9.87
CwatDRAFT_5423,,"Glutathione reductase, plant",Glutamate metabolism,Amino acid metabolism,Metabolism,15.16,15.06,14.77,14.52,15.09,14.8,15.43,14.83
CwatDRAFT_5572,,"Aminotransferase, class I and II",Glutamate metabolism,Amino acid metabolism,Metabolism,6.88,8.67,10.04,9.69,8.64,7.32,6.63,8.06
CwatDRAFT_6702,,Glutaminase,Glutamate metabolism,Amino acid metabolism,Metabolism,5.22,4.51,4.63,4.41,4.4,4.16,4.86,4.19
CwatDRAFT_3615,,"Glutathione S-transferase, N-terminal",Glutathione metabolism,Amino acid metabolism,Metabolism,12.71,11.48,11.09,11.05,11.86,11.56,12.92,11.14
CwatDRAFT_4717,,Glutathione peroxidase,Glutathione metabolism,Amino acid metabolism,Metabolism,11.95,11.67,10.34,8.56,8.89,10.09,11.08,11.47
CwatDRAFT_5035,,1-acyl-sn-glycerol-3-phosphate acyltransferase,Glycerolipid metabolism,Amino acid metabolism,Metabolism,9.64,9.75,9.28,9.73,9.48,10.03,9.49,9.57
CwatDRAFT_1793,,Glycine--tRNA ligase,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,11.56,11.6,11.16,12.17,12.84,13,12.42,11.99
CwatDRAFT_1794,,Glycine--tRNA ligase,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,10.63,10.5,10.08,11.23,11.99,11.46,10.78,10.47
CwatDRAFT_3360,,similar to Glycine/D-amino acid oxidases (deaminating),"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,4.6,4.96,5.63,5.54,6.82,6.66,5.52,6.08
CwatDRAFT_5077,,Glycine hydroxymethyltransferase,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,13.32,13.22,13.32,13.79,14.18,14.53,13.89,13.86
CwatDRAFT_4248,,Phosphoribosyl-AMP cyclohydrolase,Histidine metabolism,Amino acid metabolism,Metabolism,13.37,12.58,11.67,10.87,10.34,11.66,13.2,12.65
CwatDRAFT_5641,,Caffeoyl-CoA O-methyltransferase,Histidine metabolism,Amino acid metabolism,Metabolism,11.81,11.9,8.64,7.04,8.23,6.83,10.98,11.25
CwatDRAFT_2701,,"Aminotransferase, class I and II",Lysine biosynthesis,Amino acid metabolism,Metabolism,9.88,9.21,9.05,9.83,9.79,9.15,8.68,8.4
CwatDRAFT_2752,,Orn/DAP/Arg decarboxylase 2:Orn/DAP/Arg decarboxylase 2,Lysine biosynthesis,Amino acid metabolism,Metabolism,5.15,6.45,5.97,5.89,6.38,6.05,5.14,6.63
CwatDRAFT_1609,,"Insulinase-like:Peptidase M16, C-terminal",Lysine degradation,Amino acid metabolism,Metabolism,12.99,12.24,11.64,12.39,12.91,12.73,13.56,12.32
CwatDRAFT_1610,,"Insulinase-like:Peptidase M16, C-terminal",Lysine degradation,Amino acid metabolism,Metabolism,9.58,8.73,7.64,8.16,8.23,9.48,9.82,8.65
CwatDRAFT_1880,,"Orn/Lys/Arg decarboxylase, major region:Orn/Lys/Arg decarboxylase, C-terminal",Lysine degradation,Amino acid metabolism,Metabolism,9.81,9.04,8.98,10.57,11.34,9.59,8.58,8.2
CwatDRAFT_2797,,Peroxidase,Phenylalanine metabolism,Amino acid metabolism,Metabolism,10.45,10.31,9.83,9.01,8.46,8.26,10.25,9.94
CwatDRAFT_2798,,Animal haem peroxidase,Phenylalanine metabolism,Amino acid metabolism,Metabolism,10.07,8.69,8.53,8.86,9.71,9.49,10.64,8.81
CwatDRAFT_4296,,Shikimate kinase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,10.05,8.84,9.09,9.06,10.5,10.29,10.46,9.14
CwatDRAFT_4419,,Prephenate dehydrogenase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,5.82,5.25,6.12,9.43,9.89,9.62,6.2,5.39
CwatDRAFT_4710,,Phosphoribosylanthranilate isomerase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,8.91,8.34,9.09,8.98,8.65,8.03,8.86,7.87
CwatDRAFT_3879,,Flavoprotein monooxygenase,Tryptophan metabolism,Amino acid metabolism,Metabolism,4.59,4.56,4.86,5.89,5.01,6.84,4.71,4.67
CwatDRAFT_4293,,4-hydroxyphenylpyruvate dioxygenase,Tyrosine metabolism,Amino acid metabolism,Metabolism,4.59,4.48,4.86,5.13,4.34,4.45,4.88,4.72
CwatDRAFT_1414,,Glutamate-5-semialdehyde dehydrogenase,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,10.32,10.1,9.28,13.38,14.64,11.78,9.49,9.5
CwatDRAFT_4746,,Creatininase,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,9.82,10.07,10,9.86,9.26,9.03,9.71,10.25
CwatDRAFT_1823,,GCN5-related N-acetyltransferase,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,4.68,5.08,6.14,7.82,8.52,6.76,5.07,6.4
CwatDRAFT_2302,,hypothetical,Polyketide sugar unit biosynthesis,Biosynthesis of Polyketides and Nonribosomal Peptides,Metabolism,4.67,4.42,4.51,4.35,4.27,4.23,4.55,4.06
CwatDRAFT_0320,ugD,UDP-glucose 6-dehydrogenase,Pentose and glucuronate interconversions,Biosynthesis of Secondary Metabolites,Metabolism,10.76,11.64,11.38,10.57,8.86,8.8,9.54,10.83
CwatDRAFT_4269,uppS,Di-trans-poly-cis-decaprenylcistransferase,Terpenoid biosynthesis,Biosynthesis of Secondary Metabolites,Metabolism,9.77,8.72,7.84,7.53,8.3,9.32,8.93,8.6
CwatDRAFT_4086,,similar to Nucleoside-diphosphate-sugar epimerases,Flavonoid biosynthesis,Biosynthesis of Secondary Metabolites,Metabolism,7.47,9.11,10.29,10.01,9.83,8.97,8.6,9.69
CwatDRAFT_2877,,similar to Beta-lactamase class A,Penicillins and cephalosporins biosynthesis,Biosynthesis of Secondary Metabolites,Metabolism,8.2,10.96,9.99,8.36,8.78,7.25,8.07,11.4
CwatDRAFT_4701,,Inositol-1(or 4)-monophosphatase,Streptomycin biosynthesis,Biosynthesis of Secondary Metabolites,Metabolism,9.8,10.33,10.34,10.17,10.21,10.24,9.96,10.32
CwatDRAFT_6652,acnB,Aconitate hydratase 2,Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism,12.74,12.75,13.5,15.02,14.95,14.16,12.25,11.6
CwatDRAFT_2453,adh,similar to NAD-dependent aldehyde dehydrogenases,Glycolysis/Gluconeogenesis,Carbohydrate metabolism,Metabolism,5.82,6.83,9.17,10.9,11.31,10.08,7.03,6.82
CwatDRAFT_2454,adhB,Iron-containing alcohol dehydrogenase,Glycolysis/Gluconeogenesis,Carbohydrate metabolism,Metabolism,6.35,5.95,6.96,9.09,9.78,8.61,7.77,6.13
CwatDRAFT_0842,aldh,Aldehyde dehydrogenase (NAD+),Glycolysis/Gluconeogenesis,Carbohydrate metabolism,Metabolism,10.13,8.71,9.38,11.12,12.64,10.86,9.81,8.15
CwatDRAFT_1032,aldh,Aldehyde dehydrogenase,Glycolysis/Gluconeogenesis,Carbohydrate metabolism,Metabolism,7.04,8.4,9.73,9.24,8.84,8.45,7.87,9.11
CwatDRAFT_1600,citA,Citrate (Si)-synthase,Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism,12.79,12.35,12.62,13.25,13.95,14.13,12.9,12.44
CwatDRAFT_2125,deoC,Deoxyribose-phosphate aldolase,Pentose phosphate pathway,Carbohydrate metabolism,Metabolism,6.2,5.98,6.14,7.98,7.28,6.62,5.4,6.26
CwatDRAFT_3088,eda,KDPG and KHG aldolase,Pentose phosphate pathway,Carbohydrate metabolism,Metabolism,6.94,7.22,7.6,8.41,9.55,7.74,6.43,6.92
CwatDRAFT_1513,eno,Enolase,Glycolysis/Gluconeogenesis,Carbohydrate metabolism,Metabolism,9.22,8.73,9.43,12.45,12.4,12.33,8.08,8.23
CwatDRAFT_2789,fbpII,"Inositol phosphatase/fructose-1,6-bisphosphatase",Glycolysis/Gluconeogenesis,Carbohydrate metabolism,Metabolism,9.61,8.49,9.04,14.04,14.43,13.02,9.3,8.17
CwatDRAFT_1050,fumC,"Fumarate hydratase, class II",Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism,5.74,6.56,6.75,10.63,11.24,9.71,6.05,6.56
CwatDRAFT_1692,galE,UDP-glucose 4-epimerase,Galactose metabolism,Carbohydrate metabolism,Metabolism,9.96,11.18,12.12,11.14,9.43,9.6,9.73,10.83
